# Simuation_for_state_estimation (Up to date)
# 1072 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (43.8 m/s)
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.589,-9.514,0.669
13.639,-9.498,0.699
13.689,-9.457,0.614
13.739,-9.581,1.343
13.785,-9.609,1.579
13.825,-9.458,0.906
13.875,-9.271,0.186
13.925,-9.224,0.112
13.975,-9.138,0.089
14.025,-8.975,0.507
14.075,-8.955,0.475
14.125,-8.925,0.475
14.175,-8.683,1.103
14.216,-8.669,1.096
14.257,-8.95,0.202
14.307,-8.89,0.335
14.357,-9.033,0.246
14.407,-9.117,0.697
14.457,-9.048,0.52
14.507,-8.967,0.289
14.557,-9.034,0.72
14.607,-9.075,1.073
14.657,-9.015,0.928
14.707,-8.824,0.167
14.757,-8.761,0.04
14.807,-8.691,0.149
14.857,-8.657,0.17
14.907,-8.612,0.24
14.957,-8.537,0.45
15.007,-8.689,0.367
15.057,-8.807,1.191
15.107,-8.798,1.346
15.156,-8.804,1.589
15.197,-8.682,1.007
15.247,-8.617,0.829
15.297,-8.479,0.304
15.347,-8.469,0.441
15.397,-8.028,1.231
15.431,-7.72,2.264
15.452,-7.566,2.769
15.469,-7.681,2.343
15.49,-7.818,1.828
15.515,-7.937,1.367
15.547,-8.05,0.898
15.591,-8.403,0.925
15.641,-8.365,0.912
15.691,-8.385,1.315
15.741,-8.464,2.3
15.768,-8.469,2.555
15.792,-8.455,2.593
15.816,-8.362,1.914
15.849,-8.169,0.608
15.898,-8.133,0.619
15.948,-8.091,0.604
15.998,-8.204,1.573
16.042,-8.176,1.578
16.086,-8.146,1.572
16.133,-8.026,1.118
16.183,-7.46,1.005
16.216,-7.009,2.37
16.235,-6.877,2.695
16.251,-6.787,2.906
16.267,-6.765,2.916
16.282,-6.766,2.873
16.298,-6.787,2.778
16.314,-6.775,2.803
16.33,-6.779,2.796
16.347,-6.805,2.733
16.363,-6.863,2.575
16.38,-6.946,2.343
16.399,-7.05,2.035
16.421,-7.233,1.421
16.449,-7.457,0.56
# Event EJECTION_CHARGE occurred at t=16.478 seconds
